"transactiondate","value"
2018-01-10 00:48:10,0.0324
2018-01-10 00:48:12,0.0221
2018-01-10 00:48:22,0.0204
2018-01-10 00:49:19,0.0339
2018-01-10 00:50:14,0.0141
2018-01-10 00:50:25,0.0259
2018-01-10 00:50:37,0.0183
2018-01-10 00:52:32,0.1037
2018-01-10 00:53:22,0.0304
2018-01-10 00:53:32,0.0222
2018-01-10 00:54:48,0.0796
2018-01-10 00:54:49,0.02
2018-01-10 00:55:08,0.0585
2018-01-10 00:55:38,0.0132
2018-01-10 00:56:06,0.0129
2018-01-10 00:56:53,0.0149
2018-01-10 00:56:54,0.0792
2018-01-10 00:57:10,0.0199
2018-01-10 00:57:14,0.0289
2018-01-10 00:57:16,0.018
2018-01-10 00:57:45,0.0178
2018-01-10 00:58:00,0.1327
2018-01-10 00:58:04,0.0962
2018-01-10 00:58:16,0.0137
2018-01-10 00:58:23,0.0147
2018-01-10 00:58:31,0.0141
2018-01-10 00:59:11,0.0972
2018-01-10 01:00:25,0.5411
2018-01-10 01:00:31,0.0147
2018-01-10 01:00:56,0.0135
2018-01-10 01:01:10,0.0177
2018-01-10 01:01:10,0.0149
2018-01-10 01:01:20,0.0159
2018-01-10 01:01:44,0.0178
2018-01-10 01:02:16,0.0198
2018-01-10 01:02:29,0.0278
2018-01-10 01:02:42,0.0123
2018-01-10 01:02:59,0.058
2018-01-10 01:03:26,0.0311
2018-01-10 01:03:38,0.0162
2018-01-10 01:03:55,0.0133
2018-01-10 01:04:10,0.0638
2018-01-10 01:04:54,0.0121
2018-01-10 01:05:15,0.0147
2018-01-10 01:05:22,0.0734
2018-01-10 01:06:29,0.0156
2018-01-10 01:07:08,0.0126
2018-01-10 01:07:14,0.0289
2018-01-10 01:07:30,0.0224
2018-01-10 01:08:30,0.0169
2018-01-10 01:08:37,0.0178
2018-01-10 01:08:54,0.0338
2018-01-10 01:09:09,0.0171
2018-01-10 01:09:30,0.0237
2018-01-10 01:09:41,0.0908
2018-01-10 01:09:44,0.0204
2018-01-10 01:10:14,0.0174
2018-01-10 01:10:22,0.0127
2018-01-10 01:10:53,0.0181
2018-01-10 01:10:57,0.0126
2018-01-10 01:11:01,0.036
2018-01-10 01:11:09,0.0167
2018-01-10 01:11:20,0.0232
2018-01-10 01:11:42,0.3633
2018-01-10 01:11:52,0.0166
2018-01-10 01:12:19,0.0458
2018-01-10 01:12:24,0.0232
2018-01-10 01:12:29,0.0254
2018-01-10 01:12:44,0.0181
2018-01-10 01:13:00,0.0143
2018-01-10 01:13:22,0.0175
2018-01-10 01:13:47,0.4267
2018-01-10 01:14:21,0.038
2018-01-10 01:14:35,0.0161
2018-01-10 01:15:23,0.0134
2018-01-10 01:16:31,0.0137
2018-01-10 01:16:36,0.0149
2018-01-10 01:17:16,0.0467
2018-01-10 01:18:04,0.0177
2018-01-10 01:18:40,0.0177
2018-01-10 01:18:42,0.026
2018-01-10 01:20:19,0.0277
2018-01-10 01:20:36,0.068
2018-01-10 01:20:41,0.0256
2018-01-10 01:21:46,0.0385
2018-01-10 01:21:48,0.0118
2018-01-10 01:21:50,0.0146
2018-01-10 01:21:52,0.0228
2018-01-10 01:21:56,0.015
2018-01-10 01:22:01,0.0149
2018-01-10 01:22:09,0.019
2018-01-10 01:22:25,0.0125
2018-01-10 01:22:40,0.0174
2018-01-10 01:23:07,0.0325
2018-01-10 01:23:15,0.0203
2018-01-10 01:23:26,0.0137
2018-01-10 01:23:38,0.0401
2018-01-10 01:23:48,0.0206
2018-01-10 01:24:17,0.0113
2018-01-10 01:24:23,0.0372
2018-01-10 01:24:31,0.0365
2018-01-10 01:24:38,0.0155
2018-01-10 01:26:01,0.0211
2018-01-10 01:26:14,0.0176
2018-01-10 01:26:16,0.0191
2018-01-10 01:26:39,0.0171
2018-01-10 01:26:51,0.0138
2018-01-10 01:28:03,0.0666
2018-01-10 01:28:10,0.0187
2018-01-10 01:28:33,0.0427
2018-01-10 01:29:04,0.0223
2018-01-10 01:29:36,0.0576
2018-01-10 01:29:45,0.0217
2018-01-10 01:30:10,0.0826
2018-01-10 01:30:33,0.0126
2018-01-10 01:31:08,0.0164
2018-01-10 01:31:49,0.0962
2018-01-10 01:32:00,0.0192
2018-01-10 01:32:11,0.0132
2018-01-10 01:32:56,0.0256
2018-01-10 01:33:40,0.0249
2018-01-10 01:34:02,0.2077
2018-01-10 01:35:12,0.015
2018-01-10 01:35:19,0.0415
2018-01-10 01:35:26,0.017
2018-01-10 01:35:28,0.0166
2018-01-10 01:35:31,0.0147
2018-01-10 01:35:35,0.0226
2018-01-10 01:36:27,0.0685
2018-01-10 01:36:31,0.0141
2018-01-10 01:37:26,0.0154
2018-01-10 01:37:52,0.0122
2018-01-10 01:38:15,0.015
2018-01-10 01:38:31,0.0368
2018-01-10 01:38:43,0.0356
2018-01-10 01:38:52,0.0135
2018-01-10 01:38:54,0.0146
2018-01-10 01:39:01,0.0547
2018-01-10 01:39:16,0.0143
2018-01-10 01:39:33,0.164
2018-01-10 01:39:33,0.0281
2018-01-10 01:39:38,0.0334
2018-01-10 01:40:10,0.017
2018-01-10 01:40:16,0.0718
2018-01-10 01:40:59,0.0116
2018-01-10 01:41:21,0.0149
2018-01-10 01:41:47,0.0171
2018-01-10 01:41:48,0.0163
2018-01-10 01:42:14,0.0247
2018-01-10 01:43:00,0.0163
2018-01-10 01:43:12,0.0147
2018-01-10 01:43:15,0.0459
2018-01-10 01:43:18,0.0165
2018-01-10 01:44:08,0.0206
2018-01-10 01:44:51,0.0183
2018-01-10 01:44:51,0.0189
2018-01-10 01:45:09,0.076
2018-01-10 01:45:15,0.0132
2018-01-10 01:45:24,0.0283
2018-01-10 01:45:28,0.0173
2018-01-10 01:45:40,0.0126
2018-01-10 01:45:50,0.0832
2018-01-10 01:46:01,0.0143
2018-01-10 01:46:07,0.0142
2018-01-10 01:46:29,0.04
2018-01-10 01:46:30,0.0715
2018-01-10 01:46:31,0.0203
2018-01-10 01:46:49,0.0256
2018-01-10 01:46:52,0.0238
2018-01-10 01:48:13,0.4029
2018-01-10 01:48:16,0.0165
2018-01-10 01:48:22,0.0129
2018-01-10 01:49:07,0.0131
2018-01-10 01:49:17,0.0151
2018-01-10 01:49:37,0.0146
2018-01-10 01:50:18,0.1177
2018-01-10 01:51:11,0.0279
2018-01-10 01:51:25,0.0134
2018-01-10 01:51:27,0.0164
2018-01-10 01:51:29,0.0148
2018-01-10 01:51:32,0.0168
2018-01-10 01:51:56,0.0325
2018-01-10 01:52:17,0.0324
2018-01-10 01:52:59,0.0296
2018-01-10 01:53:03,0.0147
2018-01-10 01:53:22,0.0173
2018-01-10 01:53:55,0.0307
2018-01-10 01:54:16,0.0192
2018-01-10 01:54:21,0.0139
2018-01-10 01:54:52,0.021
2018-01-10 01:55:55,0.0132
2018-01-10 01:55:55,0.0248
2018-01-10 01:57:59,0.0633
2018-01-10 01:58:10,0.019
2018-01-10 01:58:37,0.1205
2018-01-10 01:58:46,0.0234
2018-01-10 01:59:06,0.0121
2018-01-10 01:59:27,0.0376
2018-01-10 01:59:43,0.0227
2018-01-10 02:00:26,0.0121
2018-01-10 02:00:47,0.0163
2018-01-10 02:00:49,0.0147
2018-01-10 02:01:05,0.0258
2018-01-10 02:01:38,0.0231
2018-01-10 02:01:44,0.0162
2018-01-10 02:02:06,0.0157
2018-01-10 02:02:34,0.0181
2018-01-10 02:02:36,0.1482
2018-01-10 02:02:41,0.0231
2018-01-10 02:03:01,0.0196
2018-01-10 02:03:29,0.0173
2018-01-10 02:03:30,0.02
2018-01-10 02:04:02,0.3087
2018-01-10 02:04:05,0.0653
2018-01-10 02:04:18,0.0129
2018-01-10 02:04:24,0.0138
2018-01-10 02:04:37,0.0171
2018-01-10 02:04:38,0.0175
2018-01-10 02:04:42,0.0229
2018-01-10 02:04:59,0.022
2018-01-10 02:05:21,0.019
2018-01-10 02:05:28,0.0395
2018-01-10 02:05:44,0.014
2018-01-10 02:05:58,0.0251
2018-01-10 02:06:02,0.0337
2018-01-10 02:06:02,0.0304
2018-01-10 02:06:15,0.0308
2018-01-10 02:06:54,0.0121
2018-01-10 02:06:55,0.0174
2018-01-10 02:07:13,0.0133
2018-01-10 02:07:27,0.014
2018-01-10 02:07:48,0.0158
2018-01-10 02:08:17,0.0116
2018-01-10 02:08:33,0.1578
2018-01-10 02:08:39,0.0181
2018-01-10 02:08:57,0.0127
2018-01-10 02:09:13,0.014
2018-01-10 02:09:58,0.0411
2018-01-10 02:09:58,0.0801
2018-01-10 02:10:07,0.0126
2018-01-10 02:10:53,0.0176
2018-01-10 02:11:26,0.0715
2018-01-10 02:11:52,0.0158
2018-01-10 02:12:01,0.0161
2018-01-10 02:12:15,0.0295
2018-01-10 02:12:20,0.0265
2018-01-10 02:12:27,0.0165
2018-01-10 02:13:14,0.0154
2018-01-10 02:13:23,0.0199
2018-01-10 02:13:26,0.0695
2018-01-10 02:13:29,0.0255
2018-01-10 02:14:14,0.0181
2018-01-10 02:14:51,0.0215
2018-01-10 02:15:00,0.0196
2018-01-10 02:15:33,0.0207
2018-01-10 02:15:35,0.0964
2018-01-10 02:15:44,0.073
2018-01-10 02:15:54,0.0651
2018-01-10 02:16:17,0.0206
2018-01-10 02:16:19,0.0167
2018-01-10 02:16:26,0.0146
2018-01-10 02:16:54,0.0161
2018-01-10 02:17:17,0.0126
2018-01-10 02:17:21,0.0142
2018-01-10 02:18:08,0.016
2018-01-10 02:18:55,0.0137
2018-01-10 02:19:24,0.0218
2018-01-10 02:19:29,0.0378
2018-01-10 02:19:35,0.0187
2018-01-10 02:20:01,0.0131
2018-01-10 02:20:01,0.0123
2018-01-10 02:20:18,0.0145
2018-01-10 02:20:25,0.0275
2018-01-10 02:20:57,0.021
2018-01-10 02:21:02,0.0175
2018-01-10 02:21:27,0.0156
2018-01-10 02:21:48,0.0169
2018-01-10 02:21:55,0.0313
2018-01-10 02:22:09,0.016
2018-01-10 02:22:37,0.0166
2018-01-10 02:22:41,0.0152
2018-01-10 02:23:08,0.0143
2018-01-10 02:23:27,0.0164
2018-01-10 02:23:30,0.0519
2018-01-10 02:23:47,0.0225
2018-01-10 02:23:49,0.0534
2018-01-10 02:23:52,0.0315
2018-01-10 02:24:02,0.0144
2018-01-10 02:24:02,0.0187
2018-01-10 02:24:03,0.0191
2018-01-10 02:24:14,0.0431
2018-01-10 02:24:31,0.0147
2018-01-10 02:24:45,0.0323
2018-01-10 02:24:48,0.0126
2018-01-10 02:24:53,0.0321
2018-01-10 02:26:15,0.014
2018-01-10 02:26:50,0.0139
2018-01-10 02:27:06,0.0144
2018-01-10 02:27:15,0.0282
2018-01-10 02:27:24,0.0188
2018-01-10 02:27:24,0.0271
2018-01-10 02:27:36,0.0382
2018-01-10 02:27:53,0.0181
2018-01-10 02:28:52,0.0135
2018-01-10 02:29:03,0.0135
2018-01-10 02:29:04,0.0137
2018-01-10 02:29:25,0.0126
2018-01-10 02:30:02,0.0147
2018-01-10 02:30:10,0.0132
2018-01-10 02:30:30,0.0139
2018-01-10 02:30:36,0.0126
2018-01-10 02:31:10,0.0137
2018-01-10 02:31:19,0.0145
2018-01-10 02:31:33,0.0176
2018-01-10 02:31:56,0.0174
2018-01-10 02:31:57,0.0135
2018-01-10 02:32:07,0.0126
2018-01-10 02:32:13,0.012
2018-01-10 02:32:14,0.0486
2018-01-10 02:32:28,0.0171
2018-01-10 02:32:30,0.0143
2018-01-10 02:32:42,0.0164
2018-01-10 02:32:49,0.0179
2018-01-10 02:32:51,0.0147
2018-01-10 02:33:32,0.0291
2018-01-10 02:33:33,0.0152
2018-01-10 02:33:48,0.0262
2018-01-10 02:34:32,0.0567
2018-01-10 02:34:59,0.0478
2018-01-10 02:35:46,0.0165
2018-01-10 02:36:16,0.2038
2018-01-10 02:36:31,0.013
2018-01-10 02:36:37,0.1013
2018-01-10 02:37:00,0.0126
2018-01-10 02:37:12,0.0278
2018-01-10 02:37:20,0.0335
2018-01-10 02:37:27,0.0353
2018-01-10 02:37:48,0.0658
2018-01-10 02:37:51,0.0929
2018-01-10 02:38:03,0.026
2018-01-10 02:39:02,0.0377
2018-01-10 02:40:16,0.0178
2018-01-10 02:40:38,0.0201
2018-01-10 02:40:55,0.0146
2018-01-10 02:41:15,0.0226
2018-01-10 02:41:33,0.0603
2018-01-10 02:41:36,0.0142
2018-01-10 02:41:53,0.0154
2018-01-10 02:42:08,0.0204
2018-01-10 02:42:13,0.1135
2018-01-10 02:42:47,0.0445
2018-01-10 02:43:15,0.0755
2018-01-10 02:43:45,0.0188
2018-01-10 02:44:33,0.0299
2018-01-10 02:44:54,0.0168
2018-01-10 02:45:15,0.0628
2018-01-10 02:45:51,0.0152
2018-01-10 02:46:04,0.0165
2018-01-10 02:46:15,0.0161
2018-01-10 02:46:15,0.032
2018-01-10 02:46:24,0.0257
2018-01-10 02:46:51,0.0653
2018-01-10 02:46:51,0.0134
2018-01-10 02:47:38,0.0153
2018-01-10 02:47:46,0.0147
2018-01-10 02:48:34,0.0126
2018-01-10 02:48:52,0.0126
2018-01-10 02:48:56,0.0243
2018-01-10 02:49:17,0.0509
2018-01-10 02:49:54,0.015
2018-01-10 02:50:31,0.0182
2018-01-10 02:50:38,0.0461
2018-01-10 02:50:48,0.0125
2018-01-10 02:50:59,0.064
2018-01-10 02:51:00,0.0207
2018-01-10 02:51:15,0.0395
2018-01-10 02:52:52,0.0279
2018-01-10 02:53:12,0.0461
2018-01-10 02:53:35,0.0526
2018-01-10 02:53:41,0.0209
2018-01-10 02:54:03,0.0267
2018-01-10 02:54:13,0.0133
2018-01-10 02:54:25,0.0168
2018-01-10 02:54:37,0.0296
2018-01-10 02:54:39,0.0177
2018-01-10 02:54:42,0.0177
2018-01-10 02:55:13,0.0266
2018-01-10 02:55:28,0.059
2018-01-10 02:55:43,0.0162
2018-01-10 02:56:01,0.0287
2018-01-10 02:56:26,0.0154
2018-01-10 02:56:50,0.0461
2018-01-10 02:57:18,0.0282
2018-01-10 02:57:48,0.0271
2018-01-10 02:57:55,0.0185
2018-01-10 02:57:56,0.0411
2018-01-10 02:58:04,0.0131
2018-01-10 02:58:08,0.0139
2018-01-10 02:58:08,0.056
2018-01-10 02:58:13,0.0445
2018-01-10 02:58:42,0.2979
2018-01-10 02:59:03,0.0142
2018-01-10 03:00:00,0.0207
2018-01-10 03:00:02,0.014
2018-01-10 03:00:56,0.0125
2018-01-10 03:02:09,0.0461
2018-01-10 03:03:36,0.0151
2018-01-10 03:04:10,0.0461
2018-01-10 03:05:06,0.0461
2018-01-10 03:05:06,0.0714
2018-01-10 03:05:34,0.012
2018-01-10 03:06:11,0.0151
2018-01-10 03:06:25,0.0203
2018-01-10 03:06:31,0.1377
2018-01-10 03:06:48,0.2408
2018-01-10 03:08:46,0.0149
2018-01-10 03:08:56,0.0163
2018-01-10 03:09:05,0.0133
2018-01-10 03:09:59,0.0124
2018-01-10 03:10:11,0.0723
2018-01-10 03:10:35,0.0225
2018-01-10 03:11:09,0.0158
2018-01-10 03:11:25,0.0136
2018-01-10 03:11:50,0.024
2018-01-10 03:11:58,0.0207
2018-01-10 03:12:24,0.0192
2018-01-10 03:12:50,0.0702
2018-01-10 03:13:14,0.0217
2018-01-10 03:13:20,0.0448
2018-01-10 03:14:35,0.0163
2018-01-10 03:15:06,0.0146
2018-01-10 03:15:31,0.0143
2018-01-10 03:15:40,0.0158
2018-01-10 03:15:43,0.0275
2018-01-10 03:17:06,0.0148
2018-01-10 03:17:49,0.013
2018-01-10 03:18:12,0.0502
2018-01-10 03:18:16,0.0186
2018-01-10 03:18:34,0.0165
2018-01-10 03:18:52,0.0452
2018-01-10 03:19:02,0.0177
2018-01-10 03:19:37,0.0925
2018-01-10 03:20:00,0.0187
2018-01-10 03:20:13,0.012
2018-01-10 03:20:21,0.0628
2018-01-10 03:20:23,0.0187
2018-01-10 03:21:09,0.0154
2018-01-10 03:21:10,0.0266
2018-01-10 03:21:31,0.0165
2018-01-10 03:21:36,0.0255
2018-01-10 03:21:44,0.0191
2018-01-10 03:23:08,0.012
2018-01-10 03:23:12,0.0727
2018-01-10 03:23:20,0.0399
2018-01-10 03:23:34,0.0158
2018-01-10 03:23:45,0.0179
2018-01-10 03:23:50,0.0165
2018-01-10 03:24:55,0.0143
2018-01-10 03:25:12,0.0215
2018-01-10 03:25:52,0.0209
2018-01-10 03:27:06,0.0129
2018-01-10 03:27:21,0.016
2018-01-10 03:27:24,0.0131
2018-01-10 03:27:42,0.0227
2018-01-10 03:28:40,0.0136
2018-01-10 03:28:58,0.015
2018-01-10 03:29:17,0.0147
2018-01-10 03:29:29,0.0195
2018-01-10 03:29:51,0.012
2018-01-10 03:30:43,0.0143
2018-01-10 03:30:49,0.016
2018-01-10 03:31:40,0.1003
2018-01-10 03:31:55,0.0355
2018-01-10 03:32:01,0.0823
2018-01-10 03:32:21,0.0168
2018-01-10 03:32:29,0.0126
2018-01-10 03:32:36,0.0185
2018-01-10 03:32:52,0.0147
2018-01-10 03:33:04,0.0128
2018-01-10 03:33:20,0.0513
2018-01-10 03:34:18,0.0597
2018-01-10 03:35:10,0.0203
2018-01-10 03:35:14,0.0136
2018-01-10 03:35:20,0.0182
2018-01-10 03:35:24,0.0131
2018-01-10 03:35:35,0.0174
2018-01-10 03:36:16,0.0381
2018-01-10 03:36:32,0.028
2018-01-10 03:36:49,0.043
2018-01-10 03:36:58,0.0153
2018-01-10 03:37:41,0.2644
2018-01-10 03:37:46,0.1619
2018-01-10 03:39:04,0.0259
2018-01-10 03:39:32,0.0229
2018-01-10 03:39:46,0.0132
2018-01-10 03:40:25,0.0274
2018-01-10 03:40:58,0.1099
2018-01-10 03:41:30,0.0147
2018-01-10 03:41:35,0.0126
2018-01-10 03:41:55,0.0253
2018-01-10 03:42:05,0.0202
2018-01-10 03:42:08,0.0134
2018-01-10 03:42:29,0.0994
2018-01-10 03:42:34,0.0127
2018-01-10 03:42:40,0.0184
2018-01-10 03:42:48,0.0162
2018-01-10 03:42:56,0.0422
2018-01-10 03:43:31,0.0136
2018-01-10 03:43:37,0.023
2018-01-10 03:43:49,0.1047
2018-01-10 03:44:19,0.0191
2018-01-10 03:44:21,0.0547
2018-01-10 03:44:39,0.0555
2018-01-10 03:44:47,0.0178
2018-01-10 03:44:49,0.0142
2018-01-10 03:45:00,0.015
2018-01-10 03:45:37,0.0186
2018-01-10 03:45:58,0.0476
2018-01-10 03:45:59,0.0154
2018-01-10 03:47:25,0.0158
2018-01-10 03:47:32,0.013
2018-01-10 03:47:41,0.0136
2018-01-10 03:48:18,0.0163
2018-01-10 03:48:34,0.0143
2018-01-10 03:48:39,0.0155
2018-01-10 03:48:46,0.0191
2018-01-10 03:49:39,0.02
2018-01-10 03:49:50,0.0367
2018-01-10 03:49:57,0.0241
2018-01-10 03:50:10,0.0123
2018-01-10 03:50:19,0.02
2018-01-10 03:50:26,0.0133
2018-01-10 03:50:41,0.0457
2018-01-10 03:50:51,0.0132
2018-01-10 03:52:13,0.0182
2018-01-10 03:52:24,0.0174
2018-01-10 03:52:42,0.0389
2018-01-10 03:52:43,0.0276
2018-01-10 03:53:10,0.0353
2018-01-10 03:53:30,0.0696
2018-01-10 03:54:06,0.0275
2018-01-10 03:54:48,0.0157
2018-01-10 03:55:02,0.4674
2018-01-10 03:55:20,0.0119
2018-01-10 03:56:13,0.0149
2018-01-10 03:56:27,0.017
2018-01-10 03:56:39,0.0152
2018-01-10 03:56:48,0.0235
2018-01-10 03:57:02,0.0232
2018-01-10 03:57:13,0.0219
2018-01-10 03:57:16,0.0128
2018-01-10 03:57:19,0.0632
2018-01-10 03:57:31,0.0157
2018-01-10 03:58:27,0.0132
2018-01-10 03:58:29,0.015
2018-01-10 03:58:33,0.0152
2018-01-10 03:59:11,0.0181
2018-01-10 03:59:20,0.015
2018-01-10 04:00:14,0.0309
2018-01-10 04:00:21,0.0193
2018-01-10 04:01:14,0.0169
2018-01-10 04:01:19,0.0567
2018-01-10 04:01:54,0.0127
2018-01-10 04:02:19,0.0214
2018-01-10 04:02:42,0.0307
2018-01-10 04:02:49,0.288
2018-01-10 04:03:48,0.0377
2018-01-10 04:03:49,0.0327
2018-01-10 04:04:11,0.015
2018-01-10 04:04:27,0.025
2018-01-10 04:04:31,0.0209
2018-01-10 04:04:36,0.0227
2018-01-10 04:04:48,0.033
2018-01-10 04:04:58,0.0149
2018-01-10 04:05:06,0.0136
2018-01-10 04:05:12,0.0153
2018-01-10 04:05:13,0.0147
2018-01-10 04:05:39,0.0157
2018-01-10 04:06:23,0.241
2018-01-10 04:06:24,0.0149
2018-01-10 04:07:55,0.0238
2018-01-10 04:08:00,0.017
2018-01-10 04:08:14,0.0704
2018-01-10 04:08:45,0.0335
2018-01-10 04:08:50,0.148
2018-01-10 04:10:21,0.0127
2018-01-10 04:10:21,0.0461
2018-01-10 04:10:56,0.0294
2018-01-10 04:11:07,0.0136
2018-01-10 04:11:14,0.014
2018-01-10 04:11:18,0.0222
2018-01-10 04:11:23,0.0139
2018-01-10 04:11:43,0.0306
2018-01-10 04:11:50,0.0388
2018-01-10 04:11:56,0.0177
2018-01-10 04:12:55,0.0285
2018-01-10 04:13:21,0.0217
2018-01-10 04:13:25,0.1238
2018-01-10 04:13:28,0.0177
2018-01-10 04:13:38,0.0127
2018-01-10 04:13:45,0.0134
2018-01-10 04:13:52,0.0208
2018-01-10 04:14:08,0.0821
2018-01-10 04:14:32,0.0171
2018-01-10 04:14:58,0.0165
2018-01-10 04:15:53,0.0395
2018-01-10 04:16:06,0.0127
2018-01-10 04:16:28,0.0139
2018-01-10 04:16:37,0.0126
2018-01-10 04:16:54,0.0152
2018-01-10 04:17:39,0.0166
2018-01-10 04:18:48,0.0182
2018-01-10 04:18:51,0.0328
2018-01-10 04:19:19,0.025
2018-01-10 04:19:30,0.0121
2018-01-10 04:19:35,0.0162
2018-01-10 04:19:39,0.0647
2018-01-10 04:19:48,0.013
2018-01-10 04:19:50,0.0124
2018-01-10 04:19:53,0.0126
2018-01-10 04:20:07,0.0153
2018-01-10 04:20:23,0.048
2018-01-10 04:20:44,0.0166
2018-01-10 04:20:58,0.0271
2018-01-10 04:21:17,0.0138
2018-01-10 04:21:24,0.0152
2018-01-10 04:21:26,0.0161
2018-01-10 04:22:09,0.0149
2018-01-10 04:22:12,0.0157
2018-01-10 04:22:40,0.0243
2018-01-10 04:22:42,0.0365
2018-01-10 04:23:04,0.0182
2018-01-10 04:23:07,0.0131
2018-01-10 04:23:18,0.0281
2018-01-10 04:23:21,0.0255
2018-01-10 04:23:25,0.0209
2018-01-10 04:23:38,0.0214
2018-01-10 04:23:43,0.0298
2018-01-10 04:24:03,0.0329
2018-01-10 04:24:16,0.0135
2018-01-10 04:24:16,0.0327
2018-01-10 04:24:31,0.0177
2018-01-10 04:24:35,0.028
2018-01-10 04:25:00,0.0139
2018-01-10 04:26:03,0.0342
2018-01-10 04:26:24,0.0131
2018-01-10 04:26:30,0.0298
2018-01-10 04:26:42,0.1921
2018-01-10 04:26:58,0.0159
2018-01-10 04:27:04,0.0648
2018-01-10 04:27:11,0.0113
2018-01-10 04:28:01,0.0148
2018-01-10 04:28:21,0.0398
2018-01-10 04:28:31,0.0232
2018-01-10 04:28:37,0.0228
2018-01-10 04:28:59,0.02
2018-01-10 04:29:10,0.1036
2018-01-10 04:29:11,0.0695
2018-01-10 04:30:39,0.0205
2018-01-10 04:32:25,0.015
2018-01-10 04:32:43,0.0137
2018-01-10 04:32:46,0.0252
2018-01-10 04:33:52,0.0146
2018-01-10 04:34:11,0.0698
2018-01-10 04:34:31,0.0189
2018-01-10 04:34:37,0.0648
2018-01-10 04:35:34,0.0264
